NAME,Height,Easting,Northing
Battfjellet Formation,653.206,544988.857,8627397.564
Battfjellet Formation,632.504,544985.893,8627347.652
Battfjellet Formation,628.914,544982.929,8627297.740
Battfjellet Formation,628.967,544979.965,8627247.827
Battfjellet Formation,626.284,544977.369,8627197.899
Battfjellet Formation,619.701,544975.970,8627147.919
Battfjellet Formation,618.069,544974.572,8627097.938
Battfjellet Formation,617.672,544973.174,8627047.958
Battfjellet Formation,619.232,544971.775,8626997.978
Battfjellet Formation,628.997,544970.377,8626947.997
Battfjellet Formation,634.458,544968.979,8626898.017
Battfjellet Formation,647.027,544943.239,8626858.229
Battfjellet Formation,637.301,544908.506,8626822.262
Battfjellet Formation,635.968,544864.577,8626814.030
Battfjellet Formation,629.012,544815.281,8626822.385
Battfjellet Formation,630.352,544765.984,8626830.740
Battfjellet Formation,616.439,544716.687,8626839.096
Battfjellet Formation,603.346,544667.390,8626847.451
Battfjellet Formation,603.459,544619.224,8626860.655
Battfjellet Formation,601.535,544571.320,8626874.982
Battfjellet Formation,590.711,544523.417,8626889.308
Battfjellet Formation,594.943,544475.513,8626903.634
Battfjellet Formation,760.085,543041.425,8616141.100
Battfjellet Formation,759.642,543044.101,8616190.397
Battfjellet Formation,753.078,543047.898,8616240.252
Battfjellet Formation,748.221,543051.696,8616290.108
Battfjellet Formation,748.221,543054.202,8616296.681
Battfjellet Formation,768.052,543050.405,8616246.825
Battfjellet Formation,759.642,543046.607,8616196.969
Battfjellet Formation,760.085,543042.810,8616147.114
Battfjellet Formation,734.032,543040.437,8616691.100
Battfjellet Formation,744.930,543032.582,8616740.047
Battfjellet Formation,734.943,543025.515,8616789.545
Battfjellet Formation,744.930,543033.431,8616748.254
Battfjellet Formation,734.032,543040.497,8616698.756
Battfjellet Formation,750.161,543227.293,8616693.100
Battfjellet Formation,739.725,543229.138,8616643.672
Battfjellet Formation,721.813,543230.011,8616593.680
Battfjellet Formation,721.434,543230.884,8616543.687
Battfjellet Formation,740.331,543229.919,8616493.697
Battfjellet Formation,748.699,543228.941,8616443.706
Battfjellet Formation,758.480,543227.962,8616393.716
Battfjellet Formation,769.812,543226.984,8616343.725
Battfjellet Formation,777.229,543226.006,8616293.735
Battfjellet Formation,774.936,543225.028,8616243.745
Battfjellet Formation,768.366,543224.049,8616193.754
Battfjellet Formation,753.525,543222.799,8616143.810
Battfjellet Formation,748.986,543205.667,8616096.837
Battfjellet Formation,742.488,543197.908,8616081.398
Battfjellet Formation,746.977,543215.039,8616128.371
Battfjellet Formation,764.923,543221.727,8616177.295
Battfjellet Formation,772.412,543222.705,8616227.286
Battfjellet Formation,777.238,543223.683,8616277.276
Battfjellet Formation,774.302,543224.662,8616327.266
Battfjellet Formation,764.317,543225.640,8616377.257
Battfjellet Formation,752.458,543226.618,8616427.247
