Easting,Northing,Height
533817.632,8633839.641,28.398
533830.147,8633791.232,27.805
533842.663,8633742.824,30.389
533855.178,8633694.416,33.293
533867.693,8633646.007,34.254
533880.209,8633597.599,37.047
533892.724,8633549.191,41.856
533905.240,8633500.783,38.382
533917.755,8633452.374,41.199
533930.270,8633403.966,40.086
533942.786,8633355.558,38.225
533955.301,8633307.149,38.099
533967.686,8633258.722,37.679
533968.558,8633208.729,37.650
533969.431,8633158.737,37.026
533967.087,8633178.429,37.305
533966.214,8633228.421,37.764
533960.824,8633277.799,37.859
533948.308,8633326.207,36.954
533935.793,8633374.615,39.288
533923.277,8633423.024,40.108
533910.762,8633471.432,41.663
533898.247,8633519.840,39.343
533885.731,8633568.249,42.285
533873.216,8633616.657,36.260
533860.700,8633665.065,34.195
533848.185,8633713.474,30.979
533835.670,8633761.882,29.874
533823.154,8633810.290,28.218
533810.639,8633858.698,28.407
533798.123,8633907.107,27.447
533785.608,8633955.515,26.847
533775.140,8634004.248,26.799
533772.097,8634054.156,27.162
533769.053,8634104.063,26.356
533766.010,8634153.970,26.063
533762.967,8634203.877,25.506
533759.923,8634253.785,24.989
533756.880,8634303.692,24.330
533754.750,8634353.635,23.224
533753.877,8634403.628,22.941
533753.005,8634453.620,23.503
533752.132,8634503.612,22.643
533751.260,8634553.605,24.969
533750.387,8634603.597,26.474
533771.586,8634647.506,29.906
533798.012,8634689.952,33.216
533824.438,8634732.399,36.567
533850.863,8634774.845,41.951
533877.289,8634817.291,44.927
533903.715,8634859.737,47.606
533932.232,8634900.792,51.840
533961.185,8634941.556,53.793
533990.138,8634982.320,57.117
534019.091,8635023.085,58.117
534048.043,8635063.849,58.546
534076.996,8635104.613,60.431
534105.949,8635145.378,57.357
534142.057,8635179.750,55.511
534179.322,8635213.086,53.918
534216.587,8635246.423,56.260
534253.852,8635279.759,55.385
534291.117,8635313.096,53.945
534328.382,8635346.432,52.008
534365.647,8635379.769,52.398
534402.912,8635413.105,50.543
534443.236,8635440.816,53.808
534491.524,8635453.788,56.254
534539.813,8635466.759,61.682
534588.101,8635479.731,60.904
534636.389,8635492.702,62.002
534684.677,8635505.674,68.323
534733.214,8635517.374,63.041
534782.829,8635523.568,63.656
534832.444,8635529.761,71.108
534882.059,8635535.955,64.901
534931.674,8635542.148,71.726
534981.289,8635548.342,69.175
535030.904,8635554.536,62.481
535080.519,8635560.729,71.216
535130.133,8635566.923,83.250
535179.435,8635575.210,80.880
535228.694,8635583.790,87.157
535277.952,8635592.369,90.064
535327.211,8635600.949,100.185
535376.469,8635609.529,109.475
535425.727,8635618.109,102.802
535474.986,8635626.689,106.109
535524.244,8635635.269,101.307
535573.502,8635643.848,107.762
535622.732,8635652.589,109.267
535671.901,8635661.668,109.392
535721.069,8635670.748,97.702
535770.238,8635679.827,105.388
535819.407,8635688.907,118.455
535868.576,8635697.986,119.049
535917.744,8635707.065,124.593
535966.913,8635716.145,124.414
536016.082,8635725.224,128.648
536065.251,8635734.304,126.436
536114.419,8635743.383,129.555
536163.588,8635752.463,119.527
536212.757,8635761.542,130.341
536261.925,8635770.622,135.131
536311.094,8635779.701,144.910
536360.263,8635788.780,150.495
536409.189,8635798.841,145.273
536456.924,8635813.721,143.665
536504.658,8635828.601,146.605
536552.392,8635843.482,144.409
536600.127,8635858.362,141.455
536647.861,8635873.242,139.880
536695.596,8635888.123,142.780
536743.330,8635903.003,138.448
536791.065,8635917.883,138.171
536838.799,8635932.763,131.769
536886.534,8635947.644,133.619
536934.268,8635962.524,114.085
536982.002,8635977.404,103.646
537030.831,8635987.106,109.143
537080.507,8635992.790,99.403
537130.183,8635998.474,112.866
537179.858,8636004.158,119.576
537229.534,8636009.842,125.669
537279.210,8636015.526,122.210
537328.886,8636021.211,125.293
537378.562,8636026.895,110.286
537428.238,8636032.579,93.218
537477.914,8636038.263,109.718
537527.590,8636043.947,127.759
537577.265,8636049.631,146.298
537626.941,8636055.315,148.599
537676.617,8636060.999,159.150
537726.293,8636066.683,170.562
537775.969,8636072.367,168.691
537825.645,8636078.051,173.946
537875.321,8636083.735,186.493
537924.959,8636089.706,192.577
537974.429,8636096.969,193.880
538023.898,8636104.232,198.822
538073.368,8636111.495,197.705
538122.838,8636118.758,200.514
538172.307,8636126.021,203.266
538221.777,8636133.284,201.613
538271.247,8636140.547,208.015
538320.716,8636147.810,212.518
538370.186,8636155.073,209.450
538418.884,8636166.378,210.927
538467.550,8636177.851,210.536
538516.216,8636189.323,217.450
538564.882,8636200.796,210.694
538613.548,8636212.268,209.514
538662.214,8636223.741,210.422
538710.897,8636234.991,210.052
538760.441,8636228.252,217.401
538809.984,8636221.513,217.147
538859.528,8636214.773,215.762
538908.485,8636211.802,206.181
538953.636,8636233.284,177.501
538998.786,8636254.765,187.598
539043.936,8636276.246,202.565
539091.855,8636285.985,210.046
539141.848,8636286.857,212.964
539191.840,8636287.730,215.945
539241.833,8636288.602,216.439
539291.825,8636289.475,211.841
539340.247,8636299.062,194.544
541745.456,8632526.296,288.360
541746.437,8632575.674,302.647
541748.502,8632625.631,308.927
541750.566,8632675.588,312.844
541764.196,8632721.993,313.669
541790.622,8632764.439,309.707
541817.048,8632806.886,310.222
541843.474,8632849.332,310.549
541869.899,8632891.778,313.368
541896.325,8632934.224,309.597
541923.587,8632976.126,307.671
541951.704,8633017.471,299.859
541979.821,8633058.817,297.978
542007.938,8633100.162,289.095
542036.054,8633141.508,291.741
542064.171,8633182.853,297.947
542090.931,8633225.035,294.443
542115.224,8633268.737,296.843
542139.517,8633312.439,304.143
542163.809,8633356.141,304.653
542188.102,8633399.842,307.186
542212.395,8633443.544,301.328
542236.688,8633487.246,302.760
542250.051,8633535.233,299.104
542261.930,8633583.801,305.935
542273.809,8633632.370,300.854
542285.688,8633680.938,304.449
542297.567,8633729.507,295.144
542308.543,8633778.199,301.174
542310.168,8633828.172,287.071
542311.793,8633878.146,292.931
542313.418,8633928.119,293.255
542315.043,8633978.093,293.113
542316.668,8634028.067,293.954
542317.838,8634078.044,288.534
542316.966,8634128.036,276.156
542316.093,8634178.028,302.459
542315.221,8634228.021,309.124
542314.348,8634278.013,300.398
542313.475,8634328.006,307.978
542312.603,8634377.998,314.756
542311.730,8634427.990,315.988
542310.857,8634477.983,316.940
542309.985,8634527.975,321.822
542309.112,8634577.967,321.793
542308.240,8634627.960,321.142
542307.367,8634677.952,319.754
542306.494,8634727.945,316.328
542305.622,8634777.937,317.769
542304.749,8634827.929,318.004
542303.876,8634877.922,318.845
542303.004,8634927.914,316.688
542302.131,8634977.907,314.988
542301.259,8635027.899,316.365
542300.386,8635077.891,316.068
542299.513,8635127.884,313.372
542298.641,8635177.876,311.543
542297.768,8635227.868,310.605
542296.896,8635277.861,309.945
542296.023,8635327.853,308.777
542295.150,8635377.846,305.821
542294.278,8635427.838,303.161
542293.405,8635477.830,298.507
542292.532,8635527.823,294.853
542278.540,8635572.397,293.606
542243.883,8635608.437,298.562
542209.226,8635644.478,298.110
542174.569,8635680.518,296.120
542139.913,8635716.558,295.034
542105.256,8635752.599,293.656
542066.415,8635783.884,294.990
542026.258,8635813.674,292.637
541986.101,8635843.463,292.084
541945.944,8635873.252,289.876
541905.786,8635903.041,288.453
541862.710,8635928.380,287.889
541818.797,8635943.840,287.571
541772.705,8635924.463,290.682
541726.612,8635905.086,293.401
541681.093,8635884.871,292.346
541646.361,8635848.904,282.428
541611.628,8635812.937,273.047
541576.895,8635776.970,262.462
541542.162,8635741.003,254.801
541494.055,8635735.689,237.680
541444.063,8635734.816,247.396
541394.070,8635733.944,269.208
541388.052,8635779.052,284.107
541387.180,8635829.044,283.977
541388.313,8635878.994,280.933
541391.277,8635928.906,269.950
541394.241,8635978.818,260.785
