Easting,Northing,Height
551868.439,8511128.440,
551863.160,8511079.062,
551852.381,8511030.238,
551841.603,8510981.413,
551830.825,8510932.589,
551820.047,8510883.764,
551809.269,8510834.940,
551798.490,8510786.115,
551787.712,8510737.291,
551776.934,8510688.467,
551766.156,8510639.642,
551745.036,8510594.874,
551719.712,8510551.762,
551694.388,8510508.649,
551669.064,8510465.537,
551636.162,8510439.861,
551587.568,8510451.636,
551538.974,8510463.411,
551490.380,8510475.186,
551441.787,8510486.960,
551397.852,8510507.235,
551361.885,8510541.967,
551325.918,8510576.700,
551289.951,8510611.433,
551254.161,8510646.346,
551218.881,8510681.777,
551183.602,8510717.209,
551148.323,8510752.640,
551113.044,8510788.071,
551077.765,8510823.503,
551042.486,8510858.934,
551007.206,8510894.365,
550965.783,8510921.845,
550922.598,8510947.044,
550879.412,8510972.243,
550836.226,8510997.443,
550793.040,8511022.642,
550749.855,8511047.841,
550706.669,8511073.040,
550852.816,8511459.362,
550828.770,8511415.523,
550804.725,8511371.685,
550780.679,8511327.846,
550756.634,8511284.008,
550732.588,8511240.169,
550708.543,8511196.331,
550684.497,8511152.492,
550689.849,8511108.351,
550717.958,8511068.768,
550761.143,8511043.569,
550804.329,8511018.370,
550847.515,8510993.171,
550890.700,8510967.972,
550933.886,8510942.773,
550977.072,8510917.574,
551016.656,8510887.710,
551051.935,8510852.278,
551087.214,8510816.847,
551122.493,8510781.416,
551157.772,8510745.984,
551193.052,8510710.553,
551228.331,8510675.122,
551263.610,8510639.690,
551299.557,8510604.937,
551335.524,8510570.204,
551371.491,8510535.471,
551407.458,8510500.738,
551454.401,8510485.962,
551502.994,8510474.187,
551551.588,8510462.412,
551600.182,8510450.637,
551648.776,8510438.863,
551675.064,8510479.700,
551700.388,8510522.813,
551725.712,8510565.925,
551751.036,8510609.038,
551767.626,8510655.580,
551778.404,8510704.405,
551789.182,8510753.229,
551799.961,8510802.054,
551810.739,8510850.878,
551821.517,8510899.703,
551832.295,8510948.527,
551843.073,8510997.352,
551853.852,8511046.176,
551864.630,8511095.001,
551866.154,8511144.753,
551865.281,8511194.745,
551864.408,8511244.738,
