HeightBatt1,Easting,Northing
606.768371582031,539615.592,8625113.904
610.303405761719,539590.550,8625157.181
605.14990234375,539565.509,8625200.459
602.000183105469,539540.468,8625243.736
597.011413574219,539515.427,8625287.014
599.895080566406,539490.385,8625330.291
596.796813964844,539475.740,8625376.050
597.368286132813,539478.704,8625425.962
601.534973144531,539481.668,8625475.874
601.876770019531,539484.632,8625525.786
616.02587890625,539510.064,8625558.946
630.678100585938,539557.215,8625575.583
641.783874511719,539604.366,8625592.220
640.358215332031,539651.517,8625608.857
624.872375488281,539699.110,8625601.584
621.581604003906,539746.813,8625586.603
605.77392578125,539794.516,8625571.622
609.043090820313,539842.218,8625556.641
614.545288085938,539890.122,8625543.048
601.927185058594,539940.114,8625543.921
603.447082519531,539990.107,8625544.794
607.403991699219,540040.099,8625545.666
603.601684570313,540090.092,8625546.539
599.367309570313,540137.242,8625557.018
593.7529296875,540179.661,8625583.487
593.906677246094,540194.553,8625625.734
592.181396484375,540195.951,8625675.714
592.415222167969,540197.349,8625725.695
592.945617675781,540198.748,8625775.675
594.760803222656,540200.146,8625825.655
598.619201660156,540201.544,8625875.636
594.35302734375,540202.525,8625925.619
597.05908203125,540201.652,8625975.611
598.64892578125,540200.780,8626025.603
604.922973632813,540199.907,8626075.596
631.193176269531,540232.197,8626112.573
641.462829589844,540266.930,8626148.540
642.493713378906,540307.982,8626170.080
661.816772460938,540357.974,8626170.952
670.142822265625,540407.966,8626171.825
697.706115722656,540456.193,8626163.547
721.134094238281,540502.231,8626144.041
742.831176757813,540548.269,8626124.535
760.027893066406,540594.307,8626105.028
758.515075683594,540640.345,8626085.522
734.325378417969,540686.383,8626066.015
706.844482421875,540730.075,8626042.015
692.952819824219,540772.395,8626015.387
689.964416503906,540814.714,8625988.759
686.235473632813,540857.034,8625962.131
665.823181152344,540899.354,8625935.503
661.112487792969,540941.673,8625908.875
653.857482910156,540977.775,8625883.797
651.984985351563,540935.456,8625910.425
665.823181152344,540893.136,8625937.053
686.235473632813,540850.816,8625963.681
689.411926269531,540808.497,8625990.309
706.429382324219,540766.177,8626016.937
718.289184570313,540723.857,8626043.564
734.325378417969,540679.701,8626066.674
758.515075683594,540633.663,8626086.181
759.827270507813,540587.625,8626105.687
742.831176757813,540541.587,8626125.194
721.134094238281,540495.549,8626144.700
691.007202148438,540449.511,8626164.206
682.720520019531,540400.753,8626169.699
673.256469726563,540350.761,8626168.826
653.238586425781,540300.769,8626167.953
641.462829589844,540262.214,8626140.776
615.069580078125,540227.481,8626104.809
601.9033203125,540202.089,8626065.163
598.64892578125,540202.962,8626015.170
593.796691894531,540203.835,8625965.178
594.35302734375,540204.652,8625915.186
